               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,             0.01885,           0.0061786,                   0,             0.92271,                0.96,             0.95255,             0.64272,            0.022053,            0.020018,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.018462,            0.006119,                   0,             0.93512,                0.94,              0.9456,             0.64711,            0.021984,             0.01913,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018731,           0.0058859,                   0,             0.96819,               0.915,             0.94818,             0.63569,            0.022555,            0.020062,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.018325,             0.00607,                   0,             0.95038,                0.96,             0.95358,             0.64007,            0.022371,            0.019427,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.018014,           0.0058811,                   0,             0.95384,             0.92995,              0.9511,             0.65046,            0.022125,            0.019823,                   0,            0.002278,            0.002278,            0.002278
                 158,             0.01849,           0.0058207,                   0,             0.96373,             0.92994,             0.95407,             0.65103,            0.022631,            0.020583,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.017947,           0.0056412,                   0,              0.9413,               0.965,             0.95824,             0.64086,            0.022702,            0.019811,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.018203,           0.0057148,                   0,                0.95,             0.94995,              0.9499,             0.64348,             0.02219,            0.019131,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.017703,           0.0054902,                   0,             0.92713,               0.955,             0.95125,             0.64758,            0.022334,            0.019039,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.017934,           0.0058168,                   0,             0.94354,               0.925,             0.93801,             0.63844,            0.022717,            0.020088,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.018166,           0.0059786,                   0,             0.93563,             0.94486,             0.94708,             0.64447,            0.022245,            0.019862,                   0,            0.001981,            0.001981,            0.001981
                 164,             0.01788,           0.0058754,                   0,             0.93583,                0.95,             0.94459,                0.64,            0.022703,            0.020398,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,             0.01802,           0.0059593,                   0,             0.92971,                0.93,             0.94545,             0.63674,            0.022882,            0.020527,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.017808,           0.0057901,                   0,             0.93992,                0.94,             0.95388,             0.64291,             0.02264,            0.019802,                   0,           0.0018325,           0.0018325,           0.0018325
                 167,            0.017815,           0.0057622,                   0,             0.94906,               0.935,             0.95349,             0.64638,            0.022066,            0.019742,                   0,            0.001783,            0.001783,            0.001783
